Model,Accuracy,Precision,Recall,F1
Random Forest Classifier,0.9589552238805971,1.0,0.8307692307692308,0.907563025210084
XGBoost Classifier,0.9514925373134329,0.9642857142857143,0.8307692307692308,0.8925619834710744
