Model,RMSE (Severity),R2 (Severity),RMSE (Premium),R2 (Premium)
Linear Regression,686.9567195799187,0.684462531928484,5762.359886989828,0.7861187582782349
Random Forest,630.4980012269274,0.7341971626331137,4565.353795643983,0.8657479833868701
XGBoost,689.5069351915079,0.6821154198261469,4706.564899978405,0.8573144337808484
